,Experiment name:,Sample experiment
Duration:,10 Seconds
Rate:,50 per second
Sensors:,Temperature (ID 1  Exp 1),Conductivity (ID 1  Exp 1)
Range:,Celsius,µs/cm
Units:,°C,µs/cm
Time
'7.771561172376096e-16;20.0;8128
'0.020000000000000774;20.0;8128
'0.04000000000000077;20.0;8128
'0.06000000000000077;20.0;8128
'0.08000000000000076;20.0;8128
'0.10000000000000075;20.0;8128
'0.12000000000000074;20.0;8128
'0.14000000000000073;20.0;8128
'0.16000000000000072;20.0;8128
'0.18000000000000071;20.0;8128
'0.2000000000000007;20.0;8128
'0.2200000000000007;20.0;8128
'0.24000000000000069;20.0;8128
'0.2600000000000007;20.0;8128
'0.2800000000000007;20.0;8128
'0.3000000000000007;20.0;8128
'0.32000000000000073;20.0;8128
'0.34000000000000075;20.0;8128
'0.36000000000000076;20.0;8128
'0.3800000000000008;20.0;8128
'0.4000000000000008;20.0;8128
'0.4200000000000008;20.0;8128
'0.44000000000000083;20.0;8128
'0.46000000000000085;20.0;8128
'0.48000000000000087;20.0;8128
'0.5000000000000009;20.0;8128
'0.5200000000000009;20.0;8128
'0.5400000000000009;20.0;8128
'0.5600000000000009;20.0;8128
'0.580000000000001;20.0;8128
'0.600000000000001;20.0;8128
'0.620000000000001;20.0;8128
'0.640000000000001;20.0;8128
'0.660000000000001;20.0;8128
'0.680000000000001;20.0;8128
'0.7000000000000011;20.0;8128
'0.7200000000000011;20.0;8128
'0.7400000000000011;20.0;8128
'0.7600000000000011;20.0;8128
'0.7800000000000011;20.0;8128
'0.8000000000000012;20.0;8128
'0.8200000000000012;20.0;8128
'0.8400000000000012;20.0;8128
'0.8600000000000012;20.0;8128
'0.8800000000000012;20.0;8128
'0.9000000000000012;20.0;8128
'0.9200000000000013;20.0;8128
'0.9400000000000013;20.0;8128
'0.9600000000000013;20.0;8128
'0.9800000000000013;20.0;8128
'1.0000000000000013;20.0;8128
'1.0200000000000014;20.0;8128
'1.0400000000000014;20.0;8128
'1.0600000000000014;20.0;8128
'1.0800000000000014;20.0;8128
'1.1000000000000014;20.0;8128
'1.1200000000000014;20.0;8131
'1.1400000000000015;20.0;8131
'1.1600000000000015;20.0;8131
'1.1800000000000015;20.0;8131
'1.2000000000000015;20.0;8131
'1.2200000000000015;20.0;8131
'1.2400000000000015;20.0;8131
'1.2600000000000016;20.0;8131
'1.2800000000000016;20.0;8131
'1.3000000000000016;20.0;8131
'1.3200000000000016;20.0;8131
'1.3400000000000016;20.0;8131
'1.3600000000000017;20.0;8131
'1.3800000000000017;20.0;8131
'1.4000000000000017;20.0;8131
'1.4200000000000017;20.0;8131
'1.4400000000000017;20.0;8131
'1.4600000000000017;20.0;8131
'1.4800000000000018;20.0;8131
'1.5000000000000018;20.0;8131
'1.5200000000000018;20.0;8131
'1.5400000000000018;20.0;8131
'1.5600000000000018;20.0;8131
'1.5800000000000018;20.0;8131
'1.6000000000000019;20.0;8131
'1.6200000000000019;20.0;8131
'1.640000000000002;20.0;8131
'1.660000000000002;20.0;8131
'1.680000000000002;20.0;8131
'1.700000000000002;20.0;8131
'1.720000000000002;20.0;8131
'1.740000000000002;20.0;8131
'1.760000000000002;20.0;8131
'1.780000000000002;20.0;8131
'1.800000000000002;20.0;8131
'1.820000000000002;20.0;8135
'1.840000000000002;20.0;8135
'1.860000000000002;20.0;8135
'1.8800000000000021;20.0;8135
'1.9000000000000021;20.0;8135
'1.9200000000000021;20.0;8135
'1.9400000000000022;20.0;8135
'1.9600000000000022;20.0;8135
'1.9800000000000022;20.0;8135
'2.000000000000002;20.0;8135
'2.0200000000000022;20.0;8135
'2.0400000000000023;20.0;8135
'2.0600000000000023;20.0;8135
'2.0800000000000023;20.0;8135
'2.1000000000000023;20.0;8135
'2.1200000000000023;20.0;8135
'2.1400000000000023;20.0;8135
'2.1600000000000024;20.0;8135
'2.1800000000000024;20.0;8135
'2.2000000000000024;20.0;8135
'2.2200000000000024;20.0;8135
'2.2400000000000024;20.0;8135
'2.2600000000000025;20.0;8135
'2.2800000000000025;20.0;8135
'2.3000000000000025;20.0;8135
'2.3200000000000025;20.0;8135
'2.3400000000000025;20.0;8135
'2.3600000000000025;20.0;8135
'2.3800000000000026;20.0;8135
'2.4000000000000026;20.0;8135
'2.4200000000000026;20.0;8135
'2.4400000000000026;20.0;8135
'2.4600000000000026;20.0;8135
'2.4800000000000026;20.0;8135
'2.5000000000000027;20.0;8135
'2.5200000000000027;20.0;8135
'2.5400000000000027;20.0;8135
'2.5600000000000027;20.0;8135
'2.5800000000000027;20.0;8135
'2.6000000000000028;20.0;8135
'2.6200000000000028;20.0;8135
'2.640000000000003;20.0;8135
'2.660000000000003;20.0;8135
'2.680000000000003;20.0;8135
'2.700000000000003;20.0;8135
'2.720000000000003;20.0;8135
'2.740000000000003;20.0;8135
'2.760000000000003;20.0;8135
'2.780000000000003;20.0;8135
'2.800000000000003;20.0;8135
'2.820000000000003;20.0;8135
'2.840000000000003;20.0;8135
'2.860000000000003;20.0;8135
'2.880000000000003;20.0;8135
'2.900000000000003;20.0;8135
'2.920000000000003;20.0;8135
'2.940000000000003;20.0;8135
'2.960000000000003;20.0;8135
'2.980000000000003;20.0;8135
'3.000000000000003;20.0;8135
'3.020000000000003;20.0;8135
'3.040000000000003;20.0;8135
'3.060000000000003;20.0;8135
'3.080000000000003;20.0;8135
'3.100000000000003;20.0;8135
'3.120000000000003;20.0;8135
'3.1400000000000032;20.0;8135
'3.1600000000000033;20.0;8135
'3.1800000000000033;20.0;8135
'3.2000000000000033;20.0;8135
'3.2200000000000033;20.0;8136
'3.2400000000000033;20.0;8136
'3.2600000000000033;20.0;8136
'3.2800000000000034;20.0;8136
'3.3000000000000034;20.0;8136
'3.3200000000000034;20.0;8136
'3.3400000000000034;20.0;8136
'3.3600000000000034;20.0;8136
'3.3800000000000034;20.0;8136
'3.4000000000000035;20.0;8136
'3.4200000000000035;20.0;8136
'3.4400000000000035;20.0;8136
'3.4600000000000035;20.0;8136
'3.4800000000000035;20.0;8136
'3.5000000000000036;20.0;8136
'3.5200000000000036;20.0;8136
'3.5400000000000036;20.0;8136
'3.5600000000000036;20.0;8136
'3.5800000000000036;20.0;8136
'3.6000000000000036;20.0;8136
'3.6200000000000037;20.0;8136
'3.6400000000000037;20.0;8136
'3.6600000000000037;20.0;8136
'3.6800000000000037;20.0;8136
'3.7000000000000037;20.0;8136
'3.7200000000000037;20.0;8136
'3.7400000000000038;20.0;8136
'3.760000000000004;20.0;8136
'3.780000000000004;20.0;8136
'3.800000000000004;20.0;8136
'3.820000000000004;20.0;8136
'3.840000000000004;20.0;8136
'3.860000000000004;20.0;8136
'3.880000000000004;20.0;8136
'3.900000000000004;20.0;8136
'3.920000000000004;20.0;8133
'3.940000000000004;20.0;8133
'3.960000000000004;20.0;8133
'3.980000000000004;20.0;8133
'4.0000000000000036;20.0;8133
'4.020000000000003;20.0;8133
'4.040000000000003;20.0;8133
'4.060000000000002;20.0;8133
'4.080000000000002;20.0;8133
'4.100000000000001;20.0;8133
'4.120000000000001;20.0;8133
'4.140000000000001;20.0;8133
'4.16;20.0;8133
'4.18;20.0;8133
'4.199999999999999;20.0;8133
'4.219999999999999;20.0;8133
'4.239999999999998;20.0;8133
'4.259999999999998;20.0;8133
'4.279999999999998;20.0;8133
'4.299999999999997;20.0;8133
'4.319999999999997;20.0;8133
'4.339999999999996;20.0;8133
'4.359999999999996;20.0;8133
'4.3799999999999955;20.0;8133
'4.399999999999995;20.0;8133
'4.419999999999995;20.0;8133
'4.439999999999994;20.0;8133
'4.459999999999994;20.0;8133
'4.479999999999993;20.0;8133
'4.499999999999993;20.0;8133
'4.5199999999999925;20.0;8133
'4.539999999999992;20.0;8133
'4.559999999999992;20.0;8133
'4.579999999999991;20.0;8133
'4.599999999999991;20.0;8133
'4.61999999999999;20.0;8134
'4.63999999999999;20.0;8134
'4.6599999999999895;20.0;8134
'4.679999999999989;20.0;8134
'4.699999999999989;20.0;8134
'4.719999999999988;20.0;8134
'4.739999999999988;20.0;8134
'4.759999999999987;20.0;8134
'4.779999999999987;20.0;8134
'4.7999999999999865;20.0;8134
'4.819999999999986;20.0;8134
'4.839999999999986;20.0;8134
'4.859999999999985;20.0;8134
'4.879999999999985;20.0;8134
'4.899999999999984;20.0;8134
'4.919999999999984;20.0;8134
'4.9399999999999835;20.0;8134
'4.959999999999983;20.0;8134
'4.979999999999983;20.0;8134
'4.999999999999982;20.0;8134
'5.019999999999982;20.0;8134
'5.039999999999981;20.0;8134
'5.059999999999981;20.0;8134
'5.0799999999999805;20.0;8134
'5.09999999999998;20.0;8134
'5.11999999999998;20.0;8134
'5.139999999999979;20.0;8134
'5.159999999999979;20.0;8134
'5.179999999999978;20.0;8134
'5.199999999999978;20.0;8134
'5.2199999999999775;20.0;8134
'5.239999999999977;20.0;8134
'5.259999999999977;20.0;8134
'5.279999999999976;20.0;8134
'5.299999999999976;20.0;8134
'5.319999999999975;20.0;8138
'5.339999999999975;20.0;8138
'5.359999999999975;20.0;8138
'5.379999999999974;20.0;8138
'5.399999999999974;20.0;8138
'5.419999999999973;20.0;8138
'5.439999999999973;20.0;8138
'5.459999999999972;20.0;8138
'5.479999999999972;20.0;8138
'5.499999999999972;20.0;8138
'5.519999999999971;20.0;8138
'5.539999999999971;20.0;8138
'5.55999999999997;20.0;8138
'5.57999999999997;20.0;8138
'5.5999999999999694;20.0;8138
'5.619999999999969;20.0;8138
'5.639999999999969;20.0;8138
'5.659999999999968;20.0;8138
'5.679999999999968;20.0;8138
'5.699999999999967;20.0;8138
'5.719999999999967;20.0;8138
