,Experiment name:,Sample experiment
Duration:,10 Seconds
Rate:,50 per second
Sensors:,Temperature (ID 1  Exp 1),Conductivity (ID 1  Exp 1)
Range:,Celsius,µs/cm
Units:,°C,µs/cm
Time
'7.771561172376096e-16;20.3;1446.2
'0.020000000000000774;20.3;1446.2
'0.04000000000000077;20.3;1446.2
'0.06000000000000077;20.3;1446.2
'0.08000000000000076;20.3;1446.2
'0.10000000000000075;20.3;1446.2
'0.12000000000000074;20.3;1444.3
'0.14000000000000073;20.3;1444.3
'0.16000000000000072;20.3;1444.3
'0.18000000000000071;20.3;1444.3
'0.2000000000000007;20.3;1444.3
'0.2200000000000007;20.3;1444.3
'0.24000000000000069;20.3;1444.3
'0.2600000000000007;20.3;1444.3
'0.2800000000000007;20.3;1444.3
'0.3000000000000007;20.3;1444.3
'0.32000000000000073;20.3;1444.3
'0.34000000000000075;20.3;1444.3
'0.36000000000000076;20.3;1444.3
'0.3800000000000008;20.3;1444.3
'0.4000000000000008;20.3;1444.3
'0.4200000000000008;20.3;1444.3
'0.44000000000000083;20.3;1444.3
'0.46000000000000085;20.3;1444.3
'0.48000000000000087;20.3;1444.3
'0.5000000000000009;20.3;1444.3
'0.5200000000000009;20.3;1444.3
'0.5400000000000009;20.3;1444.3
'0.5600000000000009;20.3;1444.3
'0.580000000000001;20.3;1444.3
'0.600000000000001;20.3;1444.3
'0.620000000000001;20.3;1444.3
'0.640000000000001;20.3;1444.3
'0.660000000000001;20.3;1444.3
'0.680000000000001;20.3;1444.3
'0.7000000000000011;20.3;1444.3
'0.7200000000000011;20.3;1444.3
'0.7400000000000011;20.3;1444.3
'0.7600000000000011;20.3;1444.3
'0.7800000000000011;20.3;1444.3
'0.8000000000000012;20.3;1444.3
'0.8200000000000012;20.3;1443.2
'0.8400000000000012;20.3;1443.2
'0.8600000000000012;20.3;1443.2
'0.8800000000000012;20.3;1443.2
'0.9000000000000012;20.3;1443.2
'0.9200000000000013;20.3;1443.2
'0.9400000000000013;20.3;1443.2
'0.9600000000000013;20.3;1443.2
'0.9800000000000013;20.3;1443.2
