,Experiment name:,Sample experiment
Duration:,10 Seconds
Rate:,10 per second
Sensors:,Temperature (ID 1  Exp 1),Conductivity (ID 1  Exp 1)
Range:,Celsius,µs/cm
Units:,°C,µs/cm
Time
'-5.523359547510154e-15;19.6;7824
'0.09999999999999447;19.6;7824
'0.19999999999999446;19.6;7824
'0.29999999999999444;19.6;7824
'0.3999999999999944;19.6;7824
'0.4999999999999944;19.6;7824
'0.5999999999999944;19.7;7839
'0.6999999999999944;19.7;7839
'0.7999999999999944;19.7;7839
'0.8999999999999944;19.7;7839
'0.9999999999999943;19.7;7839
'1.0999999999999943;19.7;7839
'1.1999999999999944;19.7;7839
'1.2999999999999945;19.7;7849
'1.3999999999999946;19.7;7849
'1.4999999999999947;19.7;7849
'1.5999999999999948;19.7;7849
'1.6999999999999948;19.7;7849
'1.799999999999995;19.7;7849
'1.899999999999995;19.7;7849
'1.9999999999999951;19.7;7859
'2.099999999999995;19.7;7859
'2.1999999999999953;19.7;7859
'2.2999999999999954;19.7;7859
'2.3999999999999955;19.7;7859
'2.4999999999999956;19.7;7859
'2.5999999999999956;19.7;7859
'2.6999999999999957;19.7;7867
'2.799999999999996;19.7;7867
'2.899999999999996;19.7;7867
'2.999999999999996;19.7;7867
'3.099999999999996;19.8;7867
'3.199999999999996;19.8;7867
'3.2999999999999963;19.8;7867
'3.3999999999999964;19.8;7874
'3.4999999999999964;19.8;7874
'3.5999999999999965;19.8;7874
'3.6999999999999966;19.8;7874
'3.7999999999999967;19.8;7874
'3.899999999999997;19.8;7874
'3.999999999999997;19.8;7874
'4.099999999999997;19.8;7883
'4.199999999999997;19.8;7883
'4.299999999999996;19.8;7883
'4.399999999999996;19.8;7883
'4.499999999999996;19.8;7883
'4.599999999999995;19.8;7883
'4.699999999999995;19.8;7883
'4.7999999999999945;19.8;7891
'4.899999999999994;19.8;7891
'4.999999999999994;19.8;7891
'5.099999999999993;19.8;7891
'5.199999999999993;19.8;7891
'5.299999999999993;19.8;7891
'5.399999999999992;19.8;7891
'5.499999999999992;19.8;7898
'5.599999999999992;19.8;7898
'5.699999999999991;19.8;7898
'5.799999999999991;19.8;7898
'5.899999999999991;19.8;7898
'5.99999999999999;19.8;7898
'6.09999999999999;19.8;7898
'6.1999999999999895;19.8;7905
'6.299999999999989;19.8;7905
'6.399999999999989;19.8;7905
'6.4999999999999885;19.8;7905
'6.599999999999988;19.8;7905
'6.699999999999988;19.8;7905
'6.799999999999987;19.8;7905
'6.899999999999987;19.8;7912
'6.999999999999987;19.8;7912
'7.099999999999986;19.8;7912
'7.199999999999986;19.8;7912
'7.299999999999986;19.8;7912
'7.399999999999985;19.8;7912
'7.499999999999985;19.8;7912
'7.5999999999999845;19.8;7918
'7.699999999999984;19.8;7918
'7.799999999999984;19.8;7918
'7.8999999999999835;19.8;7918
'7.999999999999983;19.8;7918
'8.099999999999984;19.8;7918
'8.199999999999983;19.8;7918
'8.299999999999983;19.8;7924
'8.399999999999983;19.8;7924
'8.499999999999982;19.8;7924
'8.599999999999982;19.8;7924
'8.699999999999982;19.8;7924
'8.799999999999981;19.8;7924
'8.89999999999998;19.8;7924
'8.99999999999998;19.8;7929
'9.09999999999998;19.8;7929
'9.19999999999998;19.8;7929
'9.29999999999998;19.8;7929
'9.399999999999979;19.8;7929
'9.499999999999979;19.8;7929
'9.599999999999978;19.8;7929
'9.699999999999978;19.8;7933
'9.799999999999978;19.8;7933
'9.899999999999977;19.8;7933
'9.999999999999977;19.8;7933
sys info:[91~54~52~93~44~91~34~49~126~49~126~49~126~49~126~35~98~57~53~48~48~53~126~76~101~102~116~126~49~52~48~126~45~52~48~126~89~101~115~124~49~53~126~49~126~49~126~49~126~35~55~48~52~55~49~101~126~76~101~102~116~126~50~48~48~48~48~126~48~126~89~101~115~34~93~44~91~34~82~97~116~101~34~93~44~91~57~93~44~91~34~82~101~115~101~114~118~101~34~93~44~91~34~78~111~110~101~34~93~44~91~34~84~111~116~97~108~95~115~97~109~112~108~101~115~34~93~44~91~49~48~49~93~44~91~34~69~120~112~32~73~68~34~93~44~91~34~50~48~50~54~45~48~50~45~49~49~32~50~48~58~48~49~58~49~55~46~57~57~54~49~50~48~34~93]
Attention! Any change in the file may prevent reading its data.
"dot_sign."
"coma_sign;"
