0;0.027466
0.001;0.015301
0.002;-0.000152
0.003;-0.01659
0.004;-0.029084
0.005;-0.039276
0.006;-0.044537
0.007;-0.040262
0.008;-0.036646
0.009;-0.022837
0.01;-0.008371
0.011;0.010862
0.012;0.020397
0.013;0.033055
0.014;0.04111
0.015;0.041274
0.016;0.035521
0.017;0.025164
0.018;0.01152
0.019;-0.00459
0.02;-0.021522
0.021;-0.030399
0.022;-0.037632
0.023;-0.043057
0.024;-0.036317
0.025;-0.026289
0.026;-0.017577
0.027;-0.001467
0.028;0.01563
0.029;0.029274
0.03;0.039959
0.031;0.044891
0.032;0.042096
0.033;0.035521
0.034;0.022698
0.035;0.00889
0.036;-0.004755
0.037;-0.018563
0.038;-0.032701
0.039;-0.036975
0.04;-0.03681
0.041;-0.029248
0.042;-0.023002
0.043;-0.007385
0.044;0.011191
0.045;0.025493
0.046;0.03848
0.047;0.045384
0.048;0.048836
0.049;0.045548
0.05;0.037
0.051;0.022205
0.052;0.01004
0.053;-0.009851
0.054;-0.021193
0.055;-0.026289
0.056;-0.033358
0.057;-0.034673
0.058;-0.022015
0.059;-0.014289
0.06;0.001985
0.061;0.01826
0.062;0.032068
0.063;0.044562
0.064;0.049658
0.065;0.049165
0.066;0.04374
0.067;0.034206
0.068;0.017438
0.069;0.003629
0.07;-0.012645
0.071;-0.023002
0.072;-0.035166
0.073;-0.032536
0.074;-0.031714
0.075;-0.021193
0.076;-0.011988
0.077;0.004287
0.078;0.021548
0.079;0.034699
0.08;0.042918
0.081;0.04637
0.082;0.044891
0.083;0.034534
0.084;0.024507
0.085;0.010698
0.086;-0.004426
0.087;-0.023166
0.088;-0.032701
0.089;-0.03829
0.09;-0.036317
0.091;-0.035002
0.092;-0.021851
0.093;-0.009357
0.094;0.006917
0.095;0.022041
0.096;0.033219
0.097;0.042096
0.098;0.039959
0.099;0.037164
0.1;0.028123
0.101;0.017109
0.102;-0.000645
0.103;-0.014782
0.104;-0.026783
0.105;-0.036481
0.106;-0.04355
0.107;-0.038783
0.108;-0.031057
0.109;-0.021029
0.11;-0.007385
0.111;0.007903
0.112;0.022205
0.113;0.031904
0.114;0.039302
0.115;0.038151
0.116;0.035685
0.117;0.019739
0.118;0.009547
0.119;-0.007056
0.12;-0.021358
0.121;-0.035824
0.122;-0.041084
0.123;-0.043386
0.124;-0.040262
