0;0.039137
0.001;0.031575
0.002;0.015794
0.003;0.002479
0.004;-0.013138
0.005;-0.02744
0.006;-0.038125
0.007;-0.043879
0.008;-0.038947
0.009;-0.032536
0.01;-0.023824
0.011;-0.008535
0.012;0.009383
0.013;0.019904
0.014;0.033219
0.015;0.040123
0.016;0.039795
0.017;0.032068
0.018;0.023685
0.019;0.010369
0.02;-0.005248
0.021;-0.021193
0.022;-0.03418
0.023;-0.041742
0.024;-0.046509
0.025;-0.042893
0.026;-0.035495
0.027;-0.022015
0.028;-0.010673
0.029;0.00478
0.03;0.018589
0.031;0.026479
0.032;0.026644
0.033;0.027466
0.034;0.019904
0.035;0.008561
0.036;-0.007878
0.037;-0.025796
0.038;-0.038783
0.039;-0.049139
0.04;-0.056208
0.041;-0.05851
0.042;-0.048317
0.043;-0.03944
0.044;-0.023659
0.045;-0.005576
0.046;0.013986
0.047;0.026479
0.048;0.042261
0.049;0.048672
0.05;0.051466
0.051;0.048672
0.052;0.042754
0.053;0.033219
0.054;0.023191
0.055;0.016123
0.056;0.014808
0.057;0.01415
0.058;0.022863
0.059;0.037164
0.06;0.053603
0.061;0.074481
0.062;0.090426
0.063;0.111304
0.064;0.127414
0.065;0.137113
0.066;0.137277
0.067;0.132017
0.068;0.120016
0.069;0.103742
0.07;0.079412
0.071;0.059357
0.072;0.039302
0.073;0.020232
0.074;0.012342
0.075;0.008397
0.076;0.013986
0.077;0.017931
0.078;0.028945
0.079;0.042096
0.08;0.049658
0.081;0.05459
0.082;0.056891
0.083;0.052124
0.084;0.04374
0.085;0.029767
0.086;0.013164
0.087;-0.00607
0.088;-0.023824
0.089;-0.03418
0.09;-0.039605
0.091;-0.04355
0.092;-0.041249
0.093;-0.029577
0.094;-0.01281
0.095;0.001492
0.096;0.012506
0.097;0.026315
0.098;0.035356
0.099;0.038151
0.1;0.03437
0.101;0.027959
0.102;0.016616
0.103;-0.001302
0.104;-0.014618
0.105;-0.025961
0.106;-0.034673
0.107;-0.04092
0.108;-0.037961
0.109;-0.027769
0.11;-0.01544
0.111;-0.003933
0.112;0.012999
0.113;0.028452
0.114;0.040123
0.115;0.045384
0.116;0.047192
0.117;0.042918
0.118;0.03174
0.119;0.01826
0.12;0.004287
0.121;-0.010344
0.122;-0.026947
0.123;-0.033851
0.124;-0.03681
0.125;-0.031057
0.126;-0.025632
0.127;-0.011823
0.128;0.004616
0.129;0.02089
0.13;0.029109
0.131;0.040781
0.132;0.045548
0.133;0.042918
0.134;0.037493
0.135;0.025986
0.136;0.012671
0.137;-0.00607
0.138;-0.019056
0.139;-0.029906
0.14;-0.035824
0.141;-0.038947
0.142;-0.032043
0.143;-0.019385
0.144;-0.005412
0.145;0.006588
0.146;0.022863
0.147;0.036014
0.148;0.042589
0.149;0.045384
0.15;0.042096
0.151;0.036178
0.152;0.019575
0.153;0.006753
0.154;-0.006563
0.155;-0.021687
0.156;-0.03418
0.157;-0.036481
0.158;-0.03418
0.159;-0.024974
0.16;-0.015604
0.161;-0.001631
0.162;0.016123
0.163;0.029931
0.164;0.038973
0.165;0.048014
0.166;0.049987
0.167;0.04111
0.168;0.033877
0.169;0.020561
0.17;0.004451
0.171;-0.013303
0.172;-0.023166
0.173;-0.028426
0.174;-0.034509
0.175;-0.029742
0.176;-0.0207
0.177;-0.00607
0.178;0.00889
0.179;0.021876
0.18;0.037164
0.181;0.046863
0.182;0.049494
0.183;0.049494
0.184;0.044726
0.185;0.03437
0.186;0.016123
0.187;0.00215
0.188;-0.010837
0.189;-0.02218
0.19;-0.029248
0.191;-0.028098
0.192;-0.021029
0.193;-0.010673
0.194;0.002314
0.195;0.017931
0.196;0.035027
0.197;0.043411
0.198;0.05311
0.199;0.056234
0.2;0.056234
0.201;0.043082
0.202;0.034041
0.203;0.020068
0.204;0.003629
0.205;-0.010508
0.206;-0.017412
0.207;-0.02333
0.208;-0.021687
0.209;-0.013796
0.21;-0.000645
0.211;0.014315
0.212;0.027301
0.213;0.043082
0.214;0.054918
0.215;0.063631
0.216;0.059686
0.217;0.058535
0.218;0.049165
0.219;0.036343
0.22;0.018753
0.221;0.006588
0.222;-0.007549
0.223;-0.013138
0.224;-0.018563
0.225;-0.012316
0.226;-0.002124
0.227;0.008561
0.228;0.025
0.229;0.041767
0.23;0.054918
0.231;0.061987
0.232;0.069056
0.233;0.0707
0.234;0.063795
0.235;0.050151
0.236;0.037822
0.237;0.020397
0.238;0.009712
0.239;-0.00196
0.24;-0.008371
0.241;-0.009522
0.242;-0.003768
0.243;0.00741
0.244;0.02352
0.245;0.038644
0.246;0.048836
0.247;0.065768
0.248;0.075467
0.249;0.077768
0.25;0.072179
0.251;0.06659
0.252;0.055083
0.253;0.041274
0.254;0.023027
0.255;0.011356
0.256;0.001492
0.257;-0.003768
0.258;-0.001302
0.259;0.007739
0.26;0.018917
0.261;0.030753
0.262;0.04785
0.263;0.064453
0.264;0.074645
0.265;0.07744
0.266;0.082536
0.267;0.07744
0.268;0.069056
0.269;0.054096
0.27;0.039959
0.271;0.02352
0.272;0.009876
0.273;0.004451
0.274;-0.001631
0.275;0.006917
0.276;0.011849
0.277;0.025986
0.278;0.042425
0.279;0.056562
0.28;0.064946
0.281;0.077768
0.282;0.083193
0.283;0.081878
0.284;0.074152
0.285;0.063631
0.286;0.049
0.287;0.032726
0.288;0.015958
0.289;0.005931
0.29;-0.000809
0.291;-0.003933
0.292;0.002479
0.293;0.013164
0.294;0.027794
0.295;0.037986
0.296;0.054425
0.297;0.068727
0.298;0.075467
0.299;0.074316
0.3;0.072837
0.301;0.064124
0.302;0.051795
0.303;0.034863
0.304;0.017274
0.305;0.004616
0.306;-0.008042
0.307;-0.011659
0.308;-0.011823
0.309;-0.002946
0.31;0.003629
0.311;0.020232
0.312;0.036014
0.313;0.051138
0.314;0.057713
0.315;0.064124
0.316;0.065768
0.317;0.060343
0.318;0.048179
0.319;0.03437
0.32;0.016945
0.321;-0.00048
0.322;-0.011001
0.323;-0.017906
0.324;-0.025467
0.325;-0.022344
0.326;-0.010837
0.327;0.001657
0.328;0.016287
0.329;0.028945
0.33;0.041274
0.331;0.051138
0.332;0.056398
0.333;0.053275
0.334;0.047028
0.335;0.034863
0.336;0.017602
0.337;0.003136
0.338;-0.010179
0.339;-0.022673
0.34;-0.032207
0.341;-0.032865
0.342;-0.024152
0.343;-0.013631
0.344;-0.003275
0.345;0.011684
0.346;0.028288
0.347;0.039137
0.348;0.044398
0.349;0.048343
0.35;0.047028
0.351;0.034699
0.352;0.022534
0.353;0.008397
0.354;-0.008371
0.355;-0.024317
0.356;-0.031714
0.357;-0.035166
0.358;-0.035331
0.359;-0.029742
0.36;-0.017412
0.361;-0.002289
0.362;0.012342
0.363;0.024671
0.364;0.036671
0.365;0.043904
0.366;0.042754
0.367;0.037493
0.368;0.026972
0.369;0.014643
0.37;-0.004097
0.371;-0.015769
0.372;-0.030235
0.373;-0.03681
0.374;-0.043057
0.375;-0.036975
0.376;-0.027933
0.377;-0.015111
0.378;-0.001467
0.379;0.013821
0.38;0.028945
0.381;0.035849
0.382;0.040617
0.383;0.040288
0.384;0.032726
0.385;0.018424
0.386;0.006424
0.387;-0.008371
0.388;-0.024974
0.389;-0.03681
0.39;-0.04092
0.391;-0.042893
0.392;-0.034344
0.393;-0.026783
0.394;-0.012316
0.395;0.00215
0.396;0.016287
0.397;0.029274
0.398;0.03848
0.399;0.04111
0.4;0.035685
0.401;0.028781
0.402;0.016287
0.403;0.001492
0.404;-0.018728
0.405;-0.02744
0.406;-0.037303
0.407;-0.042399
0.408;-0.041906
0.409;-0.033687
0.41;-0.022837
0.411;-0.007878
0.412;0.006424
0.413;0.021219
0.414;0.034699
0.415;0.036178
0.416;0.037822
0.417;0.034699
0.418;0.024178
0.419;0.007903
0.42;-0.004755
0.421;-0.018728
0.422;-0.032043
0.423;-0.041249
0.424;-0.043715
0.425;-0.040591
0.426;-0.029248
0.427;-0.017248
0.428;-0.001796
0.429;0.012177
0.43;0.023027
0.431;0.035356
0.432;0.040945
0.433;0.039959
0.434;0.028945
0.435;0.020068
0.436;0.006424
0.437;-0.009522
0.438;-0.026289
0.439;-0.034509
0.44;-0.04092
0.441;-0.043057
0.442;-0.035988
0.443;-0.025632
0.444;-0.01281
0.445;0.000999
0.446;0.015301
0.447;0.030589
0.448;0.038151
0.449;0.037164
0.45;0.036343
0.451;0.029274
0.452;0.01563
0.453;-0.000152
0.454;-0.01544
0.455;-0.027605
0.456;-0.03681
0.457;-0.042235
0.458;-0.041578
0.459;-0.034509
0.46;-0.024317
0.461;-0.007878
0.462;0.008397
0.463;0.022534
0.464;0.030096
0.465;0.03963
0.466;0.03963
0.467;0.035685
0.468;0.023849
0.469;0.011684
0.47;-0.00459
0.471;-0.019878
0.472;-0.030892
0.473;-0.038619
0.474;-0.043386
0.475;-0.038783
0.476;-0.027933
0.477;-0.015769
0.478;-0.002453
0.479;0.009712
0.48;0.025822
0.481;0.038808
0.482;0.042425
0.483;0.038973
0.484;0.032726
0.485;0.022041
0.486;0.007246
0.487;-0.009029
0.488;-0.022015
0.489;-0.033687
0.49;-0.041578
0.491;-0.041413
0.492;-0.032701
0.493;-0.023824
0.494;-0.012974
0.495;0.004944
0.496;0.018424
0.497;0.032068
0.498;0.037329
0.499;0.040945
0.5;0.038315
0.501;0.031247
0.502;0.016945
0.503;0.001657
0.504;-0.014782
0.505;-0.028426
0.506;-0.037139
0.507;-0.040262
0.508;-0.040262
0.509;-0.034509
0.51;-0.020865
0.511;-0.00722
0.512;0.009876
0.513;0.02089
0.514;0.033384
0.515;0.041439
0.516;0.041274
0.517;0.034863
0.518;0.025986
0.519;0.012506
0.52;-0.005576
0.521;-0.019221
0.522;-0.029248
0.523;-0.03829
0.524;-0.042893
0.525;-0.03829
0.526;-0.029577
0.527;-0.014782
0.528;-0.004426
0.529;0.013657
0.53;0.02763
0.531;0.038808
0.532;0.040123
0.533;0.039959
0.534;0.03437
0.535;0.021712
0.536;0.007246
0.537;-0.007056
0.538;-0.021358
0.539;-0.03566
0.54;-0.038783
0.541;-0.042235
0.542;-0.031879
0.543;-0.025632
0.544;-0.008371
0.545;0.005602
0.546;0.02237
0.547;0.032397
0.548;0.039959
0.549;0.043904
0.55;0.040452
0.551;0.033548
0.552;0.021383
0.553;0.005931
0.554;-0.012152
0.555;-0.02481
0.556;-0.032865
0.557;-0.03681
0.558;-0.03681
0.559;-0.027111
0.56;-0.017412
0.561;-0.000974
0.562;0.013328
0.563;0.027301
0.564;0.039959
0.565;0.047521
0.566;0.047192
0.567;0.041932
0.568;0.031904
0.569;0.016616
0.57;0.002972
0.571;-0.011166
0.572;-0.022508
0.573;-0.034509
0.574;-0.034344
0.575;-0.030235
0.576;-0.020536
0.577;-0.0087
0.578;0.00741
0.579;0.021876
0.58;0.037329
0.581;0.046041
0.582;0.050316
0.583;0.051138
0.584;0.042425
0.585;0.031247
0.586;0.018753
0.587;0.001985
0.588;-0.014453
0.589;-0.024152
0.59;-0.028262
0.591;-0.033194
0.592;-0.024317
0.593;-0.013303
0.594;0.000342
0.595;0.015958
0.596;0.028452
0.597;0.042425
0.598;0.05048
0.599;0.050809
0.6;0.049
0.601;0.040288
0.602;0.028123
0.603;0.009054
0.604;-0.004261
0.605;-0.018892
0.606;-0.026454
0.607;-0.033687
0.608;-0.03155
0.609;-0.024317
0.61;-0.010673
0.611;0.000999
0.612;0.01826
0.613;0.031082
0.614;0.039959
0.615;0.048014
0.616;0.048507
0.617;0.043247
0.618;0.028781
0.619;0.018753
0.62;0.001328
0.621;-0.012974
0.622;-0.028755
0.623;-0.033522
0.624;-0.03566
0.625;-0.034673
0.626;-0.024317
0.627;-0.010673
0.628;0.00215
0.629;0.017438
0.63;0.029767
0.631;0.04111
0.632;0.046041
0.633;0.040452
0.634;0.035685
0.635;0.025657
0.636;0.011191
0.637;-0.0087
0.638;-0.0207
0.639;-0.033029
0.64;-0.038454
0.641;-0.039605
0.642;-0.033029
0.643;-0.023495
0.644;-0.009193
0.645;0.005109
0.646;0.020232
0.647;0.033877
0.648;0.037986
0.649;0.041767
0.65;0.038973
0.651;0.03174
0.652;0.014808
0.653;0.002807
0.654;-0.013467
0.655;-0.026125
0.656;-0.037139
0.657;-0.041084
0.658;-0.040427
0.659;-0.030235
0.66;-0.020536
0.661;-0.004755
0.662;0.009218
0.663;0.021054
0.664;0.033548
0.665;0.040452
0.666;0.041439
0.667;0.033712
0.668;0.025164
0.669;0.011849
0.67;-0.003275
0.671;-0.021193
0.672;-0.031879
0.673;-0.037797
0.674;-0.040591
0.675;-0.038619
0.676;-0.027769
0.677;-0.017084
0.678;-0.004755
0.679;0.01152
0.68;0.024342
0.681;0.036671
0.682;0.036178
0.683;0.037493
0.684;0.031247
0.685;0.020068
0.686;0.002643
0.687;-0.011494
0.688;-0.025961
0.689;-0.03829
0.69;-0.04503
0.691;-0.047989
0.692;-0.040427
0.693;-0.031385
0.694;-0.017577
0.695;-0.004426
0.696;0.010205
0.697;0.017274
0.698;0.02763
0.699;0.029767
0.7;0.025
0.701;0.013328
0.702;0.00215
0.703;-0.013138
0.704;-0.029906
0.705;-0.044043
0.706;-0.053249
0.707;-0.056208
0.708;-0.055222
0.709;-0.044043
0.71;-0.031385
0.711;-0.013796
0.712;0.000342
0.713;0.021548
0.714;0.03848
0.715;0.049987
0.716;0.052781
0.717;0.053932
0.718;0.051138
0.719;0.044069
0.72;0.033055
0.721;0.024507
0.722;0.020561
0.723;0.015301
0.724;0.022041
0.725;0.030753
0.726;0.046699
0.727;0.06248
0.728;0.084015
0.729;0.103577
0.73;0.12166
0.731;0.129058
0.732;0.136948
0.733;0.135797
0.734;0.126427
0.735;0.110153
0.736;0.090591
0.737;0.068234
0.738;0.04374
0.739;0.027466
0.74;0.013328
0.741;0.005438
0.742;0.004451
0.743;0.010369
0.744;0.019082
0.745;0.032562
0.746;0.038315
0.747;0.049165
0.748;0.054096
0.749;0.052617
0.75;0.047357
0.751;0.037493
0.752;0.021712
0.753;0.003136
0.754;-0.01281
0.755;-0.026454
0.756;-0.03681
0.757;-0.043879
0.758;-0.043386
0.759;-0.035002
0.76;-0.02218
0.761;-0.011988
0.762;0.005766
0.763;0.020232
0.764;0.031082
0.765;0.036671
0.766;0.038151
0.767;0.034699
0.768;0.022205
0.769;0.009383
0.77;-0.005741
0.771;-0.018234
0.772;-0.031714
0.773;-0.037139
0.774;-0.037632
0.775;-0.035331
0.776;-0.028262
0.777;-0.010508
0.778;0.003958
0.779;0.021219
0.78;0.032397
0.781;0.042918
0.782;0.047685
0.783;0.046041
0.784;0.038973
0.785;0.028123
0.786;0.01415
0.787;-0.004426
0.788;-0.015769
0.789;-0.02744
0.79;-0.033687
0.791;-0.037139
0.792;-0.03155
0.793;-0.020043
0.794;-0.004755
0.795;0.007903
0.796;0.023849
0.797;0.035849
0.798;0.044233
0.799;0.045877
0.8;0.042425
0.801;0.032726
0.802;0.019082
0.803;0.006917
0.804;-0.010344
0.805;-0.023166
0.806;-0.035495
0.807;-0.037303
0.808;-0.03829
0.809;-0.026947
0.81;-0.016755
0.811;-0.000809
0.812;0.014643
0.813;0.027794
0.814;0.03848
0.815;0.046041
0.816;0.046699
0.817;0.038808
0.818;0.030589
0.819;0.016945
0.82;0.001821
0.821;-0.016919
0.822;-0.026947
0.823;-0.032372
0.824;-0.035495
0.825;-0.032865
0.826;-0.022015
0.827;-0.010015
0.828;0.006424
0.829;0.020397
0.83;0.033877
0.831;0.044398
0.832;0.04637
0.833;0.046863
0.834;0.041439
0.835;0.030096
0.836;0.011849
0.837;-0.000152
0.838;-0.014289
0.839;-0.024481
0.84;-0.032536
0.841;-0.032701
0.842;-0.025961
0.843;-0.01396
0.844;-0.00196
0.845;0.014643
0.846;0.029931
0.847;0.040288
0.848;0.049658
0.849;0.052781
0.85;0.049494
0.851;0.037658
0.852;0.028781
0.853;0.014315
0.854;-0.001302
0.855;-0.017577
0.856;-0.025303
0.857;-0.026947
0.858;-0.028755
0.859;-0.019221
0.86;-0.005412
0.861;0.00889
0.862;0.023685
0.863;0.038973
0.864;0.048836
0.865;0.057384
0.866;0.054096
0.867;0.051302
0.868;0.042425
0.869;0.030753
0.87;0.011027
0.871;-0.00196
0.872;-0.013303
0.873;-0.019385
0.874;-0.022344
0.875;-0.018728
0.876;-0.010508
0.877;0.00478
0.878;0.018753
0.879;0.035849
0.88;0.048179
0.881;0.056234
0.882;0.062973
0.883;0.063138
0.884;0.056398
0.885;0.042096
0.886;0.030425
0.887;0.015465
0.888;0.002479
0.889;-0.011166
0.89;-0.016262
0.891;-0.017084
0.892;-0.009357
0.893;0.00067
0.894;0.015794
0.895;0.031904
0.896;0.04374
0.897;0.058535
0.898;0.067741
0.899;0.070535
0.9;0.065604
0.901;0.059028
0.902;0.046699
0.903;0.033548
0.904;0.016287
0.905;0.005109
0.906;-0.004755
0.907;-0.006727
0.908;-0.009686
0.909;0.00215
0.91;0.012999
0.911;0.026315
0.912;0.042754
0.913;0.058535
0.914;0.070042
0.915;0.072837
0.916;0.076782
0.917;0.072179
0.918;0.063795
0.919;0.048179
0.92;0.034699
0.921;0.018589
0.922;0.007246
0.923;-0.000645
0.924;-0.002617
0.925;0.000177
0.926;0.01004
0.927;0.024507
0.928;0.038151
0.929;0.05459
0.93;0.064946
0.931;0.077111
0.932;0.083358
0.933;0.083686
0.934;0.073166
0.935;0.062809
0.936;0.049494
0.937;0.03437
0.938;0.017274
0.939;0.008397
0.94;0.002479
0.941;0.000999
0.942;0.007081
0.943;0.017274
0.944;0.032233
0.945;0.04374
0.946;0.061494
0.947;0.073494
0.948;0.081385
0.949;0.081878
0.95;0.079248
0.951;0.071357
